CC# No. (hex),Phasex,,,,,,,,,,,,,,,,,,,,
77 (4Dh) ,OSC 1 Waveform,,,,OSC 1 Waveform,,OSC 1 Shape,,OSC Mix,,Detune,,,Amp Attack,,Amp Decay,,Amp Sustain,,Amp Release,
14 (0Eh) ,OSC 1 Shape,,,,,77 (4Dh) ,,14 (0Eh) ,,20 (14h) ,,18 (12h) ,,,73 (49h) ,,75 (4Bh) ,,70 (46h) ,,72 (48h) 
15 (0Fh) ,OSC 2 Semitone,,,,,,,,,,,,,,,,,,,,
82 (52h) ,OSC 2 Waveform,,,,OSC 2 Waveform,,OSC 2 Shape,,OSC 2 Octave,,OSC 2 Semitone,,,Portamento,,LFO OSC Mod,,Ring Mod,,Amp Drive,
19 (13h) ,OSC 2 Shape,,,,,82 (52h) ,,19 (13h) ,,22 (16h) ,,15 (0Fh) ,,,5 (05h) ,,12 (0Ch) ,,93 (5Dh) ,,11 (0Bh) 
22 (16h) ,OSC 2 Octave,,,,,,,,,,,,,,,,,,,,
5 (05h) ,Portamento,,,,LFO Speed,,LFO Waveform,,Filter Velocity Sensitivity,,Filter Env Amount,,,Filter Attack,,Filter Decay,,Filter Sustain,,Filter Release,
18 (12h) ,Detune,,,,,27 (1Bh) ,,76 (4Ch) ,,31 (1Fh) ,,79 (4Fh) ,,,23 (17h) ,,24 (18h) ,,25 (19h) ,,26 (1Ah) 
12 (0Ch) ,LFO OSC Mod,,,,,,,,,,,,,,,,,,,,
93 (5Dh) ,Ring Mod,,,,Reverb Amount,,Reverb Size,,Reverb Damping,,Reverb Stereo,,,Filter Key Tracking,,LFO FIlter Mod,,Filter Cut Off,,Filter Resonance,
20 (14h) ,OSC Mix,,,,,91 (5Bh) ,,90 (5Ah) ,,88 (58h) ,,89 (59h) ,,,30 (1Eh) ,,85 (55h) ,,74 (4Ah) ,,71 (47h) 
21 (15h) ,Hard Sync,On/Off,,,,,,,,,,,,,,,,,,,
28 (1Ch) ,Filter Type,Enum,,,,,,,,,,,,,,,,,,,
29 (1Dh) ,Filter Knee,Enum,,,,,,,,,,,,,,,,,,,
30 (1Eh) ,Filter Key Tracking,Upon Update,,,,,,,,,,,,,,,,,,,
31 (1Fh) ,Filter Velocity Sensitivity,Upon Update,,,,,,,,,,,,,,,,,,,
74 (4Ah) ,Filter Cut Off,,,,,,,,,,,,,,,,,,,,
71 (47h) ,Filter Resonance,,,,,,,,,,,,,,,,,,,,
85 (55h) ,LFO Filter Mod,,,,,,,,,,,,,,,,,,,,
79 (4Fh) ,Filter Env Amount,,,,,,,,,,,,,,,,,,,,
76 (4Ch) ,LFO Waveform,,,,,,,,,,,,,,,,,,,,
27 (1Bh) ,LFO Speed,,,,,,,,,,,,,,,,,,,,
23 (17h) ,Filter Attack,,,,,,,,,,,,,,,,,,,,
24 (18h) ,Filter Decay,,,,,,,,,,,,,,,,,,,,
26 (1Ah) ,Filter Release,,,,,,,,,,,,,,,,,,,,
25 (19h) ,Filter Sustain,,,,,,,,,,,,,,,,,,,,
73 (49h) ,Amp Attack,,,,,,,,,,,,,,,,,,,,
75 (4Bh) ,Amp Decay,,,,,,,,,,,,,,,,,,,,
70 (46h) ,Amp Sustain,,,,,,,,,,,,,,,,,,,,
72 (48h) ,Amp Release,,,,,,,,,,,,,,,,,,,,
11 (0Bh) ,Amp Drive,,,,,,,,,,,,,,,,,,,,
88 (58h) ,Reverb Damping,,,,,,,,,,,,,,,,,,,,
89 (59h) ,Reverb Stereo,,,,,,,,,,,,,,,,,,,,
90 (5Ah) ,Reverb Size,,,,,,,,,,,,,,,,,,,,
91 (5Bh) ,Reverb Amount,,,,,,,,,,,,,,,,,,,,
126,Keyboard Mode,Enum,,,,,,,,,,,,,,,,,,,
7 (07h) ,Amp Volume,,,,,,,,,,,,,,,,,,,,